Religious,founded1,religious_affiliation,founded2
Nondenominational,1931,Secular,1965
Nondenominational,1931,Non-sectarian,1965
Christian,1931,Non-sectarian,1965
Christian,1931,Non-sectarian,1965
Methodist,1932,Secular,1965
Roman Catholic,1932,Non-sectarian,1966
Catholic,1932,Non-sectarian,1966
Roman Catholic,1932,Non-sectarian,1966
Christian,1932,Non-sectarian,1966
Roman Catholic,1932,Non-sectarian,1966
Catholic,1932,Non-sectarian,1966
Christian,1932,Non-sectarian,1966
Formerly Roman Catholic,1932,Secularism,1966
Christian,1933,Non-sectarian,1966
Nondenominational Christian,1933,Secularism,1966
Roman Catholic,1933,Secularism,1966
Christian,1933,Non-sectarian,1966
Catholic,1933,Secularism,1967
Catholic,1933,Non-sectarian,1967
Methodist,1933,Non-sectarian,1967
Roman Catholic,1933,Non-sectarian,1967
Christian,1934,Non-sectarian,1967
Jewish,1934,Non-sectarian,1967
Catholic,1934,Non-sectarian,1967
Christian,1934,Non-sectarian,1967
Catholic,1934,Non-sectarian,1967
Presbyterian,1935,Secular,1967
Christian,1935,Non-sectarian,1967
Catholic,1936,Secularism,1967
Roman Catholic Church,1936,Non-sectarian,1967
Christian,1936,Non-sectarian,1968
Catholic,1936,Non-sectarian,1968
Free Will Baptist,1937,Non-sectarian,1968
Catholic,1937,Non-sectarian,1968
Georgia Baptist Convention,1937,Non-sectarian,1968
Christian,1937,Non-sectarian,1968
Jewish,1937,Non-sectarian,1968
Arkansas Baptist State Convention ,1937,Non-sectarian,1968
Jewish,1937,Non-sectarian,1968
Jewish,1937,Non-sectarian,1968
Jewish,1938,Non-sectarian,1968
Jewish,1938,Non-sectarian,1968
Catholic,1938,Non-sectarian,1968
Catholic,1938,Secularism,1968
Jewish,1938,Non-sectarian,1968
Jewish,1938,Non-sectarian,1969
Christian,1938,Non-sectarian,1969
Catholic,1938,Secular,1969
Jewish,1938,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Catholic,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Christian,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Christian,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Catholic,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Jewish,1939,Non-sectarian,1969
Christian,1940,Non-sectarian,1969
Jewish,1940,Non-sectarian,1970
Jewish,1940,Secular,1970
Jewish,1940,Non-sectarian,1970
Jewish,1940,Non-sectarian,1970
Jewish,1940,Non-sectarian,1970
Jewish,1940,Secular,1970
Jewish,1940,Non-sectarian,1970
Jewish,1941,Non-sectarian,1970
Jewish,1941,Non-sectarian,1970
Presbyterian,1941,Non-sectarian,1971
Catholic,1941,Non-sectarian,1971
Baptist,1941,Non-sectarian,1971
Catholic,1942,Non-sectarian,1971
Catholic,1942,Secularism,1971
Jewish,1943,Non-sectarian,1971
Christian,1944,Non-sectarian,1971
Christian,1945,Secular,1971
Roman Catholic,1945,Non-sectarian,1971
Roman Catholic ,1945,Non-sectarian,1971
Newman Catholic Community,1945,Non-sectarian,1971
Catholic,1946,Non-sectarian,1971
Catholic,1946,Non-sectarian,1971
Catholic,1946,Non-sectarian,1971
Catholic,1946,Non-sectarian,1972
Catholic,1946,Non-sectarian,1972
Claremont Colleges,1946,Non-sectarian,1972
Catholic,1946,Non-sectarian,1972
Quaker ,1946,Non-sectarian,1972
Catholic,1946,Non-sectarian,1972
Catholic,1946,Non-sectarian,1972
Arminianism,1946,Non-sectarian,1972
Church of the Brethren,1946,Non-sectarian,1972
Evangelical,1946,Secularism,1972
Methodist,1946,Non-sectarian,1973
Catholic,1946,Secular,1973
Catholic,1946,Non-sectarian,1974
Jesuit,1946,Non-sectarian,1974
Christian,1946,Non-sectarian,1974
Catholic,1946,Non-sectarian,1974
Catholic,1946,Secular,1974
Catholic,1946,Non-sectarian,1974
Jewish,1946,Non-sectarian,1974
Catholic,1946,Non-sectarian,1975
Catholic,1946,Non-sectarian,1975
Christian,1946,Non-sectarian,1975
Catholic,1947,Non-sectarian,1976
Catholic,1947,Non-sectarian,1976
Reformed Episcopal Church,1947,Non-sectarian,1976
Catholic,1947,Non-sectarian,1976
Catholic,1947,Non-sectarian,1976
"Protestant, evangelical",1947,Non-sectarian,1976
Mormon,1947,Non-sectarian,1976
Christian,1947,Non-sectarian,1976
Catholic,1948,Secular,1976
Catholic,1948,Secular,1976
Catholic,1948,Non-sectarian,1977
Roman Catholic Church - Society of Jesus,1948,Non-sectarian,1977
Christian Methodist Episcopal,1948,Non-sectarian,1977
Catholic,1948,Non-sectarian,1977
Christian,1948,Non-sectarian,1977
AME,1949,Non-sectarian,1977
Catholic,1949,Non-sectarian,1977
Catholic,1949,Secular,1977
Christian,1949,Secular,1977
Christian,1950,Non-sectarian,1978
Presbyterian Church,1950,Non-sectarian,1978
Catholic,1950,Non-sectarian,1978
Presbyterian Church (USA),1950,Non-sectarian,1978
Christian,1950,Non-sectarian,1978
Christian,1950,Non-sectarian,1978
Catholic,1950,Non-sectarian,1978
Roman Catholic,1950,Non-sectarian,1978
Roman Catholic,1950,Non-sectarian,1978
Christian,1950,Non-sectarian,1978
Christian,1951,Non-sectarian,1979
Baptist,1951,Non-sectarian,1979
Catholic,1952,Non-sectarian,1979
Methodist,1953,Non-sectarian,1979
Roman Catholic (Dominican Order),1953,Non-sectarian,1979
Christian,1953,Non-sectarian,1979
Nondenominational,1953,Secular,1979
"Protestant, evangelical",1954,Non-sectarian,1980
Baptist,1954,Secularism,1980
Baptist,1954,Non-sectarian,1980
Catholic,1954,Non-sectarian,1980
Christian,1954,Secularism,1980
Methodist,1954,Non-sectarian,1980
Christian,1955,Non-sectarian,1981
Christian,1955,Non-sectarian,1981
Catholic,1955,Non-sectarian,1982
Catholic,1955,Non-sectarian,1982
Order of Saint Benedict,1955,Non-sectarian,1982
Churces of Christ,1955,Non-sectarian,1982
Assemblies of God,1955,Non-sectarian,1982
Methodist,1956,Non-sectarian,1982
Christian,1956,Non-sectarian,1982
Catholic,1956,Non-sectarian,1982
Catholic,1956,Non-sectarian,1982
Christian,1957,Non-sectarian,1982
Christian,1957,Non-sectarian,1983
Methodist,1957,Non-sectarian,1983
Catholic,1957,Non-sectarian,1983
Catholic,1957,Non-sectarian,1983
Methodist,1957,Non-sectarian,1983
Christian,1957,Non-sectarian,1983
Methodist,1957,Non-sectarian,1983
Church of the Brethren,1958,Non-sectarian,1983
Christian,1958,Non-sectarian,1983
Christian,1958,Non-sectarian,1983
Presbyterian,1958,Non-sectarian,1983
Methodist,1958,Non-sectarian,1983
Catholic,1958,Non-sectarian,1983
Nondenominational,1958,Non-sectarian,1983
Catholic,1959,Non-sectarian,1983
Christian,1959,Secular,1983
Lutheran,1959,Non-sectarian,1983
Christian,1959,Non-sectarian,1983
Methodist,1959,Non-sectarian,1983
Christian,1959,Non-sectarian,1983
Quaker,1960,Secular,1983
Methodist,1960,Non-sectarian,1983
Catholic,1960,Non-sectarian,1983
Roman Catholic,1960,Non-sectarian,1983
Baptist,1960,Non-sectarian,1984
Churches of Christ,1960,Non-sectarian,1984
Lutheran,1960,Non-sectarian,1984
Baptist,1960,Non-sectarian,1985
Seventh-day Adventist Church,1960,Non-sectarian,1985
Christian,1961,Non-sectarian,1985
Catholic,1961,Non-sectarian,1985
Christian,1961,Non-sectarian,1986
Christian,1961,Non-sectarian,1987
Christian,1961,Non-sectarian,1987
Christian,1961,Non-sectarian,1987
Christian,1961,Non-sectarian,1987
Christian,1961,Non-sectarian,1987
Baptist,1961,Non-sectarian,1988
Christian,1961,Non-sectarian,1988
Christian,1961,Non-sectarian,1988
Christian,1961,Non-sectarian,1988
Christian,1961,Non-sectarian,1988
Christian,1962,Non-sectarian,1988
Seventh-day Adventist,1962,Non-sectarian,1988
Catholic,1962,Secular,1989
Church of God,1962,Secular,1989
Church of Christ,1962,Non-sectarian,1989
Evangelical ,1962,Secularism,1990
Christian,1962,Non-sectarian,1990
Christian,1962,Non-sectarian,1990
Independent Baptist,1962,Non-sectarian,1991
Christian,1962,Secular,1991
Christian,1962,Secular,1991
Christian,1962,Non-sectarian,1991
Christian,1962,Non-sectarian,1991
Christian,1963,Secular,1991
Seventh-day Adventist,1963,Non-sectarian,1992
Christian,1963,Non-sectarian,1992
Christian,1963,Non-sectarian,1992
Lutheran,1963,Non-sectarian,1992
Church of God,1963,Non-sectarian,1992
Lutheran,1963,Non-sectarian,1992
Catholic,1963,Non-sectarian,1993
Lutheran-affiliated,1963,Non-sectarian,1993
Baptist,1963,Non-sectarian,1993
Protestant,1963,Non-sectarian,1993
Catholic,1963,Secular,1993
Protestant,1963,Non-sectarian,1993
Pentecostal,1963,Non-sectarian,1993
Christian,1963,Non-sectarian,1993
Christian,1963,Non-sectarian,1994
Christian Churches/Churches of Christ,1963,Non-sectarian,1994
Christian,1963,Non-sectarian,1994
Christian,1964,Non-sectarian,1994
Methodist,1964,Non-sectarian,1994
Evangelical,1964,Non-sectarian ,1994
Nondenominational,1964,Non-sectarian,1994
Christian,1964,Non-sectarian,1994
Catholic,1964,Non-sectarian,1995
Catholic,1964,Non-sectarian,1995
Christian,1964,Non-sectarian,1995
AME Zion,1964,Non-sectarian,1995
Methodist,1964,Non-sectarian,1995
Christian,1964,Non-sectarian,1995
Christian,1964,Non-sectarian,1995
Christian,1964,Secular,1995
Methodist,1964,Non-sectarian,1996
Christian,1964,Non-sectarian,1996
Disciples of Christ,1964,Non-sectarian,1996
Nondenominational Jewish,1964,Secular,1996
Jewish,1964,Non-sectarian,1996
Methodist,1964,Secular,1996
Nondenominational Jewish,1964,Non-sectarian,1996
Christian,1965,Secular,1996
Baptist,1965,Secular,1996
Seventh-day Adventist Church,1965,Non-sectarian,1996
Independent Baptist,1965,Non-sectarian,1996
Assemblies of God USA,1965,Non-sectarian,1997
Catholic,1965,Non-sectarian,1997
Evangelical Christian,1965,Non-sectarian,1997
Roman Catholic Church,1965,Non-sectarian,1997
Catholic,1965,Non-sectarian,1997
Jewish,1965,Non-sectarian,1997
Christian,1965,Non-sectarian,1998
Presbyterian,1965,Non-sectarian,1998
Christian,1965,Non-sectarian,1998
Catholic,1965,Non-sectarian,1998
Roman Catholic Church,1965,Non-sectarian,1998
Christian,1965,Non-sectarian,1998
Evangelical Christian,1965,Non-sectarian,1998
Roman Catholic Church,1965,Non-sectarian,1999
Roman Catholic Church,1965,Non-sectarian,1999
Christian,1965,Non-sectarian,1999
Christian,1965,Non-sectarian,1999
Roman Catholic Church,1965,Non-sectarian,2000
Christian,1965,Non-sectarian,2000
Episcopal,1965,Non-sectarian,2000
Catholic,1965,Non-sectarian,2000
Jewish,1965,Non-sectarian,2001
LDS Faith,1965,Secular,2001
Methodist,1965,Secular,2001
Catholic,1965,Secular,2001
Christian,1965,Non-sectarian,2001
Nondenominational,1965,Non-sectarian,2002
Christian,1965,Non-sectarian,2002
Christian,1965,Non-sectarian,2002
Roman Catholic Church,1965,Non-sectarian,2003
Roman Catholic Church,1965,Non-sectarian,2003
Roman Catholic Church,1965,Non-sectarian,2003
Roman Catholic Church,1965,Non-sectarian,2003
American Baptist Churches USA,1965,Non-sectarian,2003
Roman Catholic Church,1965,Non-sectarian,2003
Baptist,1966,Non-sectarian,2004
Catholic,1966,Secular,2004
Catholic,1966,Non-sectarian,2004
Assemblies of God,1966,Non-sectarian,2004
Christian (Inter-denominational),1966,Non-sectarian,2005
Roman Catholic Church,1966,Non-sectarian,2005
Jewish,1966,Non-sectarian,2005
Roman Catholic Church,1966,Non-sectarian,2005
Roman Catholic Church,1966,Non-sectarian,2005
Catholic,1966,Non-sectarian,2005
Christian,1966,Non-sectarian,2005
Church of the Brethren,1966,Non-sectarian,2006
Roman Catholic Church,1966,Non-sectarian,2007
Roman Catholic Church,1966,Secular,2007
Roman Catholic Church,1966,Non-sectarian,2008
Roman Catholic Church,1966,Non-sectarian,2009
American Baptist Churches USA,1966,Non-sectarian,2009
Roman Catholic Church,1966,Non-sectarian,2011
Creed,1966,Non-sectarian,2011
Roman Catholic Church,1966,Non-sectarian,2011
Baptist,1966,Non-sectarian,2011
Nondenominational Christianity,1966,Non-sectarian,2011
Haredi Judaism,1966,Non-sectarian,2012
Orthodox Judaism,1966,Non-sectarian,2012
Nondenominational Christianity,1967,Non-sectarian,2012
Byzantine Catholic Metropolitan Church,1967,Non-sectarian,2012
Unaffiliated Baptist,1967,Non-sectarian,2015
American Carpatho-Russian Orthodox Church,1967,Non-sectarian,2016
Evangelical Congregational Church,1967,Non-sectarian,2016
American Baptist Churches,1967,Non-sectarian,2016
Catholic,1967,Non-sectarian,2017
Christian,1967,Non-sectarian,2018
Reconstructionist Judaism,1967,Non-sectarian,2018
Orthodox Church in America,1967,Non-sectarian,2018
Episcopal Church of the United States of America,1967,Non-sectarian,2019
Unaffiliated Presbyterianism,1967,,
Presbyterian,1967,,
Catholic,1967,,
Islam,1967,,
Won Buddhism,1967,,
Catholic,1967,,
Christian,1967,,
Catholic,1967,,
Nazarene,1967,,
Catholic,1967,,
Nazarene,1968,,
Catholic,1968,,
Christian,1968,,
Methodist,1968,,
Christian,1968,,
Methodist,1968,,
Nondenominational,1968,,
Church of the Nazarene,1968,,
Catholic,1968,,
Christian,1968,,
Christian,1968,,
Catholic,1968,,
Norwegian Luthern,1969,,
United Methodist,1969,,
Baptist,1969,,
Nondenominational,1969,,
Interdenominational,1969,,
Jewish,1969,,
Christian,1969,,
Roman Catholic,1969,,
Christian,1969,,
Christian,1969,,
Catholic,1969,,
Mennonite Church ,1969,,
Disciples,1969,,
Methodist,1969,,
Unitarian Universalist,1969,,
United Methodist Church,1969,,
Jesuit,1969,,
Seventh-day Adventist,1969,,
Catholic,1969,,
Methodist ,1970,,
Catholic,1970,,
Christian Methodist Episcopal Church,1970,,
Seventh-day Adventist Church,1970,,
Methodist,1970,,
Church of Brethren,1970,,
Catholic,1970,,
Catholic,1970,,
Roman Catholic,1970,,
Baptist,1970,,
Methodist,1970,,
Methodist,1970,,
Evangelical,1970,,
Baptist,1970,,
Christian ,1971,,
Nondenominational,1971,,
Christian,1971,,
Baptist,1971,,
Catholic,1971,,
Presbyterian Church (USA),1971,,
Christian,1971,,
Wesleyan,1971,,
United Methodist,1971,,
Christian,1971,,
Christian,1971,,
Baptist,1971,,
Christian,1971,,
Roman Catholic,1971,,
Christian,1971,,
Baptist,1971,,
Christian,1971,,
Christian,1971,,
Jewish,1971,,
Baptist,1971,,
Catholic,1972,,
Baptist ,1972,,
Christian,1972,,
Christian,1972,,
Christian,1972,,
Catholic,1972,,
Catholic,1972,,
Evangelical Christian,1972,,
Mennoite,1972,,
Chistian,1972,,
Christian,1972,,
Catholic,1972,,
Baptist,1972,,
Methodist,1972,,
Catholic,1972,,
Presbyterian Church ,1972,,
Catholic,1972,,
Non-denominational Christian Institute,1972,,
Baptist,1972,,
Non-denominational,1973,,
Chistian,1973,,
Chistian,1973,,
Chistian,1973,,
Lutheran,1973,,
Baptist,1973,,
Chistian,1973,,
Baptist,1973,,
Baptist,1973,,
Episcopal ,1973,,
Christian,1973,,
Christian,1973,,
Christian,1973,,
Christian,1973,,
Nondenominational,1973,,
Nondenominational,1973,,
Christian,1973,,
Christian,1974,,
Christian,1974,,
Catholic,1974,,
Christian,1974,,
Christian,1974,,
Presbyterian,1974,,
Christian,1974,,
Christian,1975,,
Nondenominational Christianity,1975,,
Catholic,1975,,
Christian,1975,,
Christian,1975,,
Roman Catholic Church,1975,,
Jesuit,1976,,
Christian,1977,,
Baptist,1977,,
The church of Jesus Christ of Latter-day saints,1978,,
Baptist,1978,,
Baptist,1978,,
Evangelical Christian,1978,,
"Roman Catholic (Society of Jesus (Jesuits), Religious of the Sacred Heart of Mary (Marymount Sisters), Sisters of St. Joseph of Orange)",1978,,
Catholic,1979,,
Catholic,1979,,
Presbyerian church,1979,,
Methodist,1980,,
Christian,1980,,
Catholic,1981,,
Catholic,1981,,
Methodist,1981,,
Baptist,1982,,
Catholic,1983,,
Christian,1983,,
Christian,1983,,
Non-denominational group,1983,,
Christian,1984,,
Catholic,1984,,
Methodist,1984,,
Christian,1984,,
Christian Scientist,1984,,
Christian,1984,,
Roman Catholic,1985,,
Roman Catholic,1985,,
Christian,1985,,
Baptist  ,1985,,
Methodist,1985,,
Catholic,1986,,
Non-denominational Christian,1986,,
Chistian,1986,,
Baptist,1986,,
Chistian,1987,,
Baptist,1987,,
Catholic,1987,,
Catholic,1987,,
Baptist,1988,,
Christian,1988,,
Methodist,1988,,
Catholic,1988,,
Nondenominational,1989,,
Christian,1989,,
Baptist,1989,,
Christian,1989,,
Church of Christ,1989,,
Nondenominational Christianity,1990,,
Catholic,1990,,
Methodist,1990,,
Christian,1991,,
Catholic,1991,,
Pentecostal,1992,,
Christian,1992,,
Baptist,1992,,
Christian,1992,,
Seventh Day Adventist,1992,,
Christian,1992,,
Presbyterian,1992,,
Christian,1992,,
Roman Catholic Church,1992,,
Roman Catholic,1993,,
Christian,1993,,
Catholic,1994,,
Catholic,1994,,
Nondenominational,1994,,
Jewish,1994,,
Roman Catholic Church,1995,,
Christian,1997,,
Roman Catholic Church,1997,,
x,1997,,
Catholic,1997,,
Churches of Christ,1997,,
Catholic,1997,,
Christian Reformed Church ,1998,,
Catholic,1998,,
Christian and Missionary Alliance,1998,,
Catholic,1998,,
Christian,1998,,
Christian,1998,,
Catholic,1998,,
Christian,1998,,
Lutheran,1999,,
Christian,1999,,
Christian,1999,,
Christian,1999,,
Christian,1999,,
Christian,2000,,
Methodist,2000,,
Methodist,2001,,
Evangelical,2001,,
Catholic,2001,,
Southern Baptist Convention,2001,,
Jewish,2001,,
Roman Catholic,2002,,
Catholic,2002,,
Chistian,2002,,
Christian,2002,,
Mennonite,2002,,
Non-denominational,2002,,
Roman Catholic,2003,,
Christian,2003,,
Church of God,2003,,
Christian,2003,,
Catholic,2003,,
Christian,2003,,
Christian,2004,,
Jewish,2004,,
Catholic,2004,,
Seventh-day Adventist Church,2004,,
Catholic,2004,,
Catholic,2004,,
Lutheran,2005,,
Assemblies of God,2006,,
Catholic,2006,,
baptist,2006,,
Catholic,2007,,
Catholic,2007,,
Wisconsin Evangelical lutheran synod,2007,,
Roman Catholic    ,2007,,
Roman Catholic ,2008,,
Franciscans,2008,,
Archdiocese of Santa Fe,2008,,
Catholic,2008,,
Roman Catholic Church,2008,,
Roman Catholic Church,2008,,
Christian and Missionary Alliance,2009,,
Christian,2009,,
Catholic,2009,,
Catholic,2009,,
Roman Catholic Church,2010,,
Lutheran Church–Missouri Synod,2010,,
Christian,2010,,
Catholic,2010,,
Priests of Sacred Heart ,2011,,
Catholic,2011,,
Catholic,2011,,
Catholic,2012,,
Catholic,2012,,
Baptist,2014,,
Catholic,2015,,
Catholic,2015,,
Assemblies of God ,2018,,
Catholic,2019,,
Catholic,2020,,
